Line Segment Data	2569 items	kilometer
Source	HVMV_Sub_HSB	1	X_Source
HVMV_Sub_HSB	_HVMV_Sub_LSB	0	HVMV_Sub
_HVMV_Sub_LSB	_HVMV_Sub_LSB--HVMV_Sub_48332	0.01	3PH-CONNECTOR-ABC
_HVMV_Sub_LSB--HVMV_Sub_48332	HVMV_Sub_48332	0	Switch
D6413567-3_INT	D6413567-3_INT--E182724	0.001	3PH-CONNECTOR-ABC
D6413567-3_INT--E182724	E182724	0	Switch
221-311359	L3234149	0.048180537	3P_1/0_AXNJ_DB-ABC
221-308718	L2803199	0.033677255	3P_1/0_AXNJ_DB-ABC
P862322	221-308718	0.005203588	3P_1/0_AXNJ_DB-ABC
221-242079	L3011293	0.056743508	3P_1/0_AXNJ_DB-ABC
M1108398	P850072	0.003076946	3P_1/0_AXNJ_DB-ABC
M1108387	P850080	0.003282437	3P_1/0_AXNJ_DB-ABC
M1089185	P850083	0.00721822	3P_1/0_AXNJ_DB-ABC
P850072	221-311609	0.00406221	3P_1/0_AXNJ_DB-ABC
M1089183	L2990826	0.052078294	3P_1/0_AXNJ_DB-ABC
M1209774	221-242079	0.004334939	3P_1/0_AXNJ_DB-ABC
198-5320	221-311359	0.003892028	3P_1/0_AXNJ_DB-ABC
M1108381	P862322	0.007394722	3P_1/0_AXNJ_DB-ABC
M1186052	198-5320	0.005839099	3P_1/0_AXNJ_DB-ABC
P850080	221-311905	0.005085603	3P_1/0_AXNJ_DB-ABC
221-311905	L3215203	0.01398174	3P_1/0_AXNJ_DB-ABC
221-312488	M1089183	0.013516796	3P_1/0_AXNJ_DB-ABC
P850083	221-312488	0.005898158	3P_1/0_AXNJ_DB-ABC
221-311609	L2915542	0.041628667	3P_1/0_AXNJ_DB-ABC
M1009651	M1009650	0.009030219	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2/0_ACSR-ABC
L2925506	M1069438	0.03125161	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069418	M1069417	0.087770103	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3104136	L2822872	0.14253728	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069504	M1069500	0.10669417	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026855	M1026861	0.037023014	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069517	N1136367	0.028694559	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047497	L3104136	0.023132937	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2745848	L2673308	0.057554467	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1136667	196-29519	0.035165542	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2876798	M1069457	0.1014281	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3197646	M1026851	0.098700263	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
