Line Segment Data	12800 items	feet
1-1	1-2	175	10
2-1	2-2	175	10
3-1	3-2	175	10
4-1	4-2	175	10
5-1	5-2	175	10
6-1	6-2	175	10
7-1	7-2	175	10
8-1	8-2	175	10
9-1	9-2	175	10
10-1	10-2	175	10
11-1	11-2	175	10
12-1	12-2	175	10
13-1	13-2	175	10
14-1	14-2	175	10
15-1	15-2	175	10
16-1	16-2	175	10
17-1	17-2	175	10
18-1	18-2	175	10
19-1	19-2	175	10
20-1	20-2	175	10
21-1	21-2	175	10
22-1	22-2	175	10
23-1	23-2	175	10
24-1	24-2	175	10
25-1	25-2	175	10
26-1	26-2	175	10
27-1	27-2	175	10
28-1	28-2	175	10
29-1	29-2	175	10
30-1	30-2	175	10
31-1	31-2	175	10
32-1	32-2	175	10
33-1	33-2	175	10
34-1	34-2	175	10
35-1	35-2	175	10
36-1	36-2	175	10
37-1	37-2	175	10
38-1	38-2	175	10
39-1	39-2	175	10
40-1	40-2	175	10
41-1	41-2	175	10
42-1	42-2	175	10
43-1	43-2	175	10
44-1	44-2	175	10
45-1	45-2	175	10
46-1	46-2	175	10
47-1	47-2	175	10
48-1	48-2	175	10
49-1	49-2	175	10
50-1	50-2	175	10
51-1	51-2	175	10
52-1	52-2	175	10
53-1	53-2	175	10
54-1	54-2	175	10
55-1	55-2	175	10
56-1	56-2	175	10
57-1	57-2	175	10
58-1	58-2	175	10
59-1	59-2	175	10
60-1	60-2	175	10
61-1	61-2	175	10
62-1	62-2	175	10
63-1	63-2	175	10
64-1	64-2	175	10
65-1	65-2	175	10
66-1	66-2	175	10
67-1	67-2	175	10
68-1	68-2	175	10
69-1	69-2	175	10
70-1	70-2	175	10
71-1	71-2	175	10
72-1	72-2	175	10
73-1	73-2	175	10
74-1	74-2	175	10
75-1	75-2	175	10
76-1	76-2	175	10
77-1	77-2	175	10
78-1	78-2	175	10
79-1	79-2	175	10
80-1	80-2	175	10
81-1	81-2	175	10
82-1	82-2	175	10
83-1	83-2	175	10
84-1	84-2	175	10
85-1	85-2	175	10
86-1	86-2	175	10
87-1	87-2	175	10
88-1	88-2	175	10
89-1	89-2	175	10
90-1	90-2	175	10
91-1	91-2	175	10
92-1	92-2	175	10
93-1	93-2	175	10
94-1	94-2	175	10
95-1	95-2	175	10
96-1	96-2	175	10
97-1	97-2	175	10
98-1	98-2	175	10
99-1	99-2	175	10
100-1	100-2	175	10
1-1	1-3	250	11
2-1	2-3	250	11
3-1	3-3	250	11
4-1	4-3	250	11
5-1	5-3	250	11
6-1	6-3	250	11
7-1	7-3	250	11
8-1	8-3	250	11
9-1	9-3	250	11
10-1	10-3	250	11
11-1	11-3	250	11
12-1	12-3	250	11
13-1	13-3	250	11
14-1	14-3	250	11
15-1	15-3	250	11
16-1	16-3	250	11
17-1	17-3	250	11
18-1	18-3	250	11
19-1	19-3	250	11
20-1	20-3	250	11
21-1	21-3	250	11
22-1	22-3	250	11
23-1	23-3	250	11
24-1	24-3	250	11
25-1	25-3	250	11
26-1	26-3	250	11
27-1	27-3	250	11
28-1	28-3	250	11
29-1	29-3	250	11
30-1	30-3	250	11
31-1	31-3	250	11
32-1	32-3	250	11
33-1	33-3	250	11
34-1	34-3	250	11
35-1	35-3	250	11
36-1	36-3	250	11
37-1	37-3	250	11
38-1	38-3	250	11
39-1	39-3	250	11
40-1	40-3	250	11
41-1	41-3	250	11
42-1	42-3	250	11
43-1	43-3	250	11
44-1	44-3	250	11
45-1	45-3	250	11
46-1	46-3	250	11
47-1	47-3	250	11
48-1	48-3	250	11
49-1	49-3	250	11
50-1	50-3	250	11
51-1	51-3	250	11
52-1	52-3	250	11
53-1	53-3	250	11
54-1	54-3	250	11
55-1	55-3	250	11
56-1	56-3	250	11
57-1	57-3	250	11
58-1	58-3	250	11
59-1	59-3	250	11
60-1	60-3	250	11
61-1	61-3	250	11
62-1	62-3	250	11
63-1	63-3	250	11
64-1	64-3	250	11
65-1	65-3	250	11
66-1	66-3	250	11
67-1	67-3	250	11
68-1	68-3	250	11
69-1	69-3	250	11
70-1	70-3	250	11
71-1	71-3	250	11
72-1	72-3	250	11
73-1	73-3	250	11
74-1	74-3	250	11
75-1	75-3	250	11
76-1	76-3	250	11
77-1	77-3	250	11
78-1	78-3	250	11
79-1	79-3	250	11
80-1	80-3	250	11
81-1	81-3	250	11
82-1	82-3	250	11
83-1	83-3	250	11
84-1	84-3	250	11
85-1	85-3	250	11
86-1	86-3	250	11
87-1	87-3	250	11
88-1	88-3	250	11
89-1	89-3	250	11
90-1	90-3	250	11
91-1	91-3	250	11
92-1	92-3	250	11
93-1	93-3	250	11
94-1	94-3	250	11
95-1	95-3	250	11
96-1	96-3	250	11
97-1	97-3	250	11
98-1	98-3	250	11
99-1	99-3	250	11
100-1	100-3	250	11
1-1	1-7	300	1
2-1	2-7	300	1
3-1	3-7	300	1
4-1	4-7	300	1
5-1	5-7	300	1
6-1	6-7	300	1
7-1	7-7	300	1
8-1	8-7	300	1
9-1	9-7	300	1
10-1	10-7	300	1
11-1	11-7	300	1
12-1	12-7	300	1
13-1	13-7	300	1
14-1	14-7	300	1
15-1	15-7	300	1
16-1	16-7	300	1
17-1	17-7	300	1
18-1	18-7	300	1
19-1	19-7	300	1
20-1	20-7	300	1
21-1	21-7	300	1
22-1	22-7	300	1
23-1	23-7	300	1
24-1	24-7	300	1
25-1	25-7	300	1
26-1	26-7	300	1
27-1	27-7	300	1
28-1	28-7	300	1
29-1	29-7	300	1
30-1	30-7	300	1
31-1	31-7	300	1
32-1	32-7	300	1
33-1	33-7	300	1
34-1	34-7	300	1
35-1	35-7	300	1
36-1	36-7	300	1
37-1	37-7	300	1
38-1	38-7	300	1
39-1	39-7	300	1
40-1	40-7	300	1
41-1	41-7	300	1
42-1	42-7	300	1
43-1	43-7	300	1
44-1	44-7	300	1
45-1	45-7	300	1
46-1	46-7	300	1
47-1	47-7	300	1
48-1	48-7	300	1
49-1	49-7	300	1
50-1	50-7	300	1
51-1	51-7	300	1
52-1	52-7	300	1
53-1	53-7	300	1
54-1	54-7	300	1
55-1	55-7	300	1
56-1	56-7	300	1
57-1	57-7	300	1
58-1	58-7	300	1
59-1	59-7	300	1
60-1	60-7	300	1
61-1	61-7	300	1
62-1	62-7	300	1
63-1	63-7	300	1
64-1	64-7	300	1
65-1	65-7	300	1
66-1	66-7	300	1
67-1	67-7	300	1
68-1	68-7	300	1
69-1	69-7	300	1
70-1	70-7	300	1
71-1	71-7	300	1
72-1	72-7	300	1
